CURRENCY_DATE;CURRENCY_YEAR;VOLUME;CLOSE_USD;CLOSE_EUR;CLOSE_CLP;CLOSE_BRL;RANK_VOLUME_BY_DAY;SUM_VOLUME_BY_YEAR;SUM_VOLUME_BY_YEAR_MONTH;SUM_VOLUME_BY_MONTH_IN_YEAR;AVG_VOLUME_BY_YEAR;AVG_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_YEAR;RANK_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_MONTH_IN_YEAR
2020-07-01;2020;4;103.05;91.5918705;83327.8103748;547.9891911;671;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-09;2020;0;97.7;86.5548725;77046.0084795;521.6497077;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-13;2020;0;97.4;85.849821;76916.759059;526.2503494;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-24;2020;22539;108.4;92.9989616;83923.7040608;566.99162;231;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-30;2020;34126;115.35;97.16218875;87839.31764294999;594.67527465;53;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-27;2020;25735;110.4;93.80632800000001;84832.48044960001;567.9882384000001;159;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-21;2020;0;100.5;87.1360125;77546.200392;519.7153485;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-16;2020;0;97.1;85.2439929;76651.4297984;517.7568141999999;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-02;2020;0;102.25;90.99023;81912.582567;548.1004909999999;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-22;2020;32829;108.35;93.66792489999999;83201.69011605;554.70876835;57;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-31;2020;34771;118.95;100.98652785;90009.93033239999;621.2342175;47;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-20;2020;0;98.5;85.9707015;77440.433459;524.9262;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-17;2020;0;101.05;88.4236004;79607.58530759999;544.3371504999999;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-14;2020;0;96.7;84.74739650000001;76054.80083980001;519.1147066999999;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-08;2020;0;98.95;87.27261365;77863.91460635001;528.7986950000001;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-15;2020;0;95.95;84.04020625;75051.9362881;515.26829125;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-06;2020;47;97.2;85.92237;77701.9156128;520.5840516;629;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-29;2020;24211;111.6;94.716594;84525.0849144;577.0058147999999;194;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-23;2020;24990;107.5;92.70638749999999;82818.00301;560.3006425;173;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-07;2020;0;99.25;88.02790175;78358.30584424999;533.89542575;675;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-04-03;2020;15077;114.9;106.3462695;99446.3994888;614.3436432;445;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-14;2020;14615;117.2;106.69302;99568.12435;605.1625516;457;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-22;2020;124;110.6;102.33851179999999;94983.19450619999;603.6992612;596;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-08;2020;20568;119.8;110.300459;101183.4937892;613.972005;285;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-27;2020;32;104.6;96.6539564;89705.533208;591.4190692;643;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-23;2020;39;111.05;103.0650608;95547.24665095001;614.6168858;636;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-30;2020;14;104.65;95.614519;87392.9707469;574.2666657000001;661;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-21;2020;8794;109.65;101.0062905;94167.1772349;582.95477325;554;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-09;2020;21970;118.6;108.550429;99896.6289036;605.7258985999999;248;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-02;2020;17216;119.35;110.03413574999999;102987.21048;627.39872195;374;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-24;2020;35;105.2;97.1824976;90198.8915424;588.43094;640;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-16;2020;7041;118.6;109.22941399999999;101130.44735619999;620.5629958;563;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-13;2020;14231;119.75;109.65519474999999;101811.5513085;622.87303875;472;3078378;204468;204468;12167.501;9736.571;3;30;8
